Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),PowerConsumption,DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s)
ResidualBlock-in_32x56x56-out_48-k_5-e_6-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.783,0.791,0.906,0.062,18.292,0.185,252.68
ResidualBlock-in_192x7x7-out_192-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.634,0.644,0.847,0.024,8.763,0.413,704.177
ResidualBlock-in_32x56x56-out_32-k_5-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.226,2.239,2.469,0.109,10.839,1.459,670.521
ResidualBlock-in_32x56x56-out_48-k_7-e_4-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.822,0.829,1.612,0.046,12.949,0.173,224.735
ResidualBlock-in_24x112x112-out_32-k_3-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.827,0.84,1.009,0.084,23.586,0.968,1251.44
ResidualBlock-in_48x28x28-out_48-k_3-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.447,0.453,0.598,0.032,17.673,0.145,366.078
ResidualBlock-in_48x28x28-out_48-k_5-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.646,1.658,1.815,0.056,7.573,1.264,791.108
ResidualBlock-in_192x7x7-out_192-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.632,0.639,1.345,0.023,8.497,0.404,694.823
ResidualBlock-in_24x112x112-out_32-k_5-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.239,1.257,1.47,0.094,17.132,0.988,831.924
ResidualBlock-in_192x7x7-out_192-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.559,1.572,2.379,0.051,7.267,1.141,753.95
ResidualBlock-in_24x112x112-out_24-k_3-e_1-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.886,0.903,1.267,0.021,5.529,1.436,1736.415
ResidualBlock-in_136x14x14-out_192-k_7-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.551,0.557,0.958,0.032,13.827,0.264,527.661
ResidualBlock-in_136x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.764,0.775,1.122,0.048,14.709,0.275,385.075
ResidualBlock-in_192x7x7-out_192-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.778,0.784,0.941,0.032,9.445,0.612,839.82
ResidualBlock-in_32x56x56-out_32-k_7-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.604,2.612,2.768,0.092,7.81,1.077,422.138
ResidualBlock-in_136x14x14-out_136-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.908,1.919,2.144,0.097,11.326,0.635,341.684
ResidualBlock-in_96x14x14-out_96-k_7-e_3-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.641,0.648,1.168,0.028,10.134,0.121,204.144
ResidualBlock-in_32x56x56-out_48-k_3-e_6-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.531,0.543,0.727,0.057,25.527,0.17,351.691
ResidualBlock-in_96x14x14-out_96-k_3-e_4-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.467,0.471,0.569,0.031,16.066,0.128,308.657
ResidualBlock-in_24x112x112-out_24-k_7-e_1-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,2.098,2.115,2.583,0.045,4.807,1.437,704.971
ResidualBlock-in_136x14x14-out_192-k_3-e_4-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.856,0.859,0.964,0.04,10.926,0.564,701.387
ResidualBlock-in_136x14x14-out_136-k_7-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.996,1.006,1.695,0.052,11.987,0.284,300.641
ResidualBlock-in_24x112x112-out_32-k_3-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.205,1.222,1.413,0.126,23.716,1.261,1092.943
