Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),PowerConsumption,DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s)
ResidualBlock-in_32x56x56-out_48-k_7-e_4-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.832235947,1.012901139,0.994955064,0.022665737,8.196461797,0.394193427,1349.610036
ResidualBlock-in_192x7x7-out_192-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.397223474,1.844049341,0.486,0.051992534,11.26685511,0.956192912,1082.531829
ResidualBlock-in_192x7x7-out_192-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.068651827,1.900881672,0.486,0.036293104,15.39430164,0.80444417,148.121
ResidualBlock-in_24x112x112-out_32-k_3-e_3-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.383625925,2.033071461,1.1380846,0.080808916,13.99997313,0.11,1151.979776
ResidualBlock-in_48x28x28-out_96-k_7-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,2.18155952,1.659189167,1.838323129,0.066432309,22.72096408,0.715301056,899.7019233
ResidualBlock-in_32x56x56-out_32-k_5-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.496977687,2.095145198,0.77505554,0.035065729,11.91088373,0.11,562.439729
ResidualBlock-in_24x112x112-out_32-k_7-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.694948474,0.403940447,1.223508275,0.003,15.31573102,0.426523784,148.121
ResidualBlock-in_48x28x28-out_48-k_3-e_3-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,0.549688328,2.835099668,0.04131092,13.9263506,1.070576121,263.4884745
ResidualBlock-in_96x14x14-out_96-k_5-e_3-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.690406166,0.575949737,2.831292463,0.077638954,11.40263158,0.365475481,508.735276
ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.339546652,1.385446824,2.087102597,0.056024237,13.67708193,0.911475181,1149.054521
ResidualBlock-in_32x56x56-out_32-k_5-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.707507938,1.001958135,2.950599075,0.021649315,12.95520494,1.54868627,1154.396873
ResidualBlock-in_96x14x14-out_136-k_7-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,0.318,0.996047231,0.056783026,10.94592974,0.434170231,629.1554759
ResidualBlock-in_32x56x56-out_48-k_7-e_4-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.679240074,0.318,3.289804713,0.045520254,10.49376795,0.616415124,979.8691408
ResidualBlock-in_24x112x112-out_32-k_5-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.209662691,1.005738111,2.927660644,0.064697864,10.0905409,1.050227555,1241.553743
ResidualBlock-in_96x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.819127557,1.680399373,0.617066552,0.032902097,4.418885421,0.267662187,873.4451462
ResidualBlock-in_48x28x28-out_96-k_3-e_3-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.738717703,0.808551428,1.302966476,0.013586009,14.97343138,0.923719001,1080.21691
ResidualBlock-in_96x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.328714294,0.621863017,1.777793585,0.017699564,12.97640398,0.594659463,182.2189353
Conv_in-1152x1x1_out-1536_k-1_act-h_swish,500,DPUCZDX8G_1:batch-1,1.716504912,1.053741119,1.779482867,0.044037472,8.248132723,0.11,681.9238865
ResidualBlock-in_24x112x112-out_32-k_7-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.890597543,1.028523233,2.57128778,0.028930594,7.434687585,0.276443818,558.0897882
ResidualBlock-in_136x14x14-out_192-k_5-e_6-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.14364589,0.468157287,1.226889198,0.071757379,13.23130318,0.809622551,352.9464113
ResidualBlock-in_48x28x28-out_48-k_7-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.598367688,0.830189193,1.220380822,0.041384447,17.02597587,0.945714735,802.7859736
ResidualBlock-in_24x112x112-out_32-k_5-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.162827307,1.613509068,2.933302421,0.073005865,19.20501345,1.401286455,912.5958157
ResidualBlock-in_136x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.619180489,1.949636373,2.169654529,0.003,5.856742226,0.485632731,227.8330162
ResidualBlock-in_32x56x56-out_48-k_7-e_3-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.928692504,2.208480001,1.406261412,0.044319836,15.55296398,0.422437401,637.7964642
ResidualBlock-in_96x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.363744235,2.202414648,0.694478768,0.084970449,11.96496657,0.425923784,771.4703873
ResidualBlock-in_192x7x7-out_192-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,1.593251828,1.191913232,0.038329688,13.1143958,1.73,1336.969064
ResidualBlock-in_136x14x14-out_192-k_7-e_6-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,2.064918707,2.252736843,0.07085828,10.98333733,0.586043017,942.7260539
ResidualBlock-in_32x56x56-out_32-k_7-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.115792819,0.792319723,1.674469106,0.075193,5.193372536,1.73,206.0737129
ResidualBlock-in_136x14x14-out_136-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,0.75236436,1.116332935,0.040647176,14.92057715,0.11,756.7932829
ResidualBlock-in_192x7x7-out_192-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.185138964,1.674181877,1.479384647,0.003,15.84355635,0.402766452,184.3281374
ResidualBlock-in_24x112x112-out_32-k_3-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.865791626,1.096346612,1.218035978,0.114376628,8.8248866,1.73,482.2599203
ResidualBlock-in_48x28x28-out_48-k_7-e_3-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.135249174,1.416205861,2.255201975,0.018459781,13.26867417,0.263126915,623.9353907
ResidualBlock-in_32x56x56-out_32-k_7-e_3-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.623573754,1.294996817,1.230204239,0.006108074,13.87048926,0.403772489,1218.893792
ResidualBlock-in_48x28x28-out_48-k_7-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,1.065737077,1.295771881,0.064080403,4.589495614,0.822215326,523.3860213
ResidualBlock-in_96x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.642670969,0.318,0.486,0.056891261,10.88290991,0.363230422,319.2351985
ResidualBlock-in_136x14x14-out_136-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.544191153,0.318,1.382848665,0.036170212,9.506207033,0.390556355,148.121
ResidualBlock-in_96x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,1.549313051,1.409992626,0.029003701,11.80128963,0.850536673,764.8040563
ResidualBlock-in_32x56x56-out_48-k_3-e_3-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,0.318,0.846499,0.093339555,6.636675326,0.467386145,409.2777821
ResidualBlock-in_136x14x14-out_136-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.667951522,0.539683863,0.486,0.087283852,13.25590691,1.254243347,519.2063091
ResidualBlock-in_48x28x28-out_96-k_3-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.950162349,0.358346771,0.851066302,0.017187753,5.908017403,1.450533679,1145.234933
ResidualBlock-in_32x56x56-out_32-k_7-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.431489721,0.693965205,1.264980219,0.046513179,5.357039263,0.11,685.0276165
ResidualBlock-in_96x14x14-out_96-k_5-e_3-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.071380837,1.254535317,1.179136924,0.051552318,6.420871275,0.11,650.4982763
ResidualBlock-in_96x14x14-out_136-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.464790097,1.178669028,1.005024836,0.053712285,13.1350527,0.276945966,207.6707431
ResidualBlock-in_136x14x14-out_192-k_3-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.144618238,1.176606377,1.245184779,0.054307614,15.98559807,0.11,935.7702469
ResidualBlock-in_96x14x14-out_136-k_7-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.05435528,1.598376494,1.740653141,0.0407782,6.687644956,0.643365247,494.6414387
ResidualBlock-in_24x112x112-out_32-k_7-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.037273827,0.530374597,0.901942326,0.048173195,15.84493767,0.548623495,453.334443
ResidualBlock-in_96x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.219306886,0.318,2.777187273,0.045541114,13.91316555,0.752629034,707.8216325
ResidualBlock-in_32x56x56-out_32-k_7-e_3-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.312,1.309092635,2.254417867,0.126594128,9.675640857,0.606273995,540.464674
ResidualBlock-in_136x14x14-out_136-k_7-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.830346108,1.750365174,1.936371433,0.003,14.9899665,1.551191272,1562.893044
ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.177958548,1.21408089,1.680877737,0.074062304,9.396160578,1.207308978,989.1668474
ResidualBlock-in_48x28x28-out_96-k_3-e_3-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.198333517,0.318,0.621175057,0.003,11.82758705,0.96935619,740.6252717
ResidualBlock-in_96x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.042016235,1.235994675,0.486,0.003,8.110195018,0.127728445,902.2363954
ResidualBlock-in_32x56x56-out_32-k_3-e_3-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.948975131,1.100749457,1.772533241,0.024241397,16.2666056,0.762138421,570.9740176
ResidualBlock-in_32x56x56-out_48-k_5-e_3-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.873378635,2.467167192,2.517133372,0.071158626,11.85890925,0.563028242,592.6256454
ResidualBlock-in_96x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.439301556,1.556399317,1.605219138,0.054781304,7.780462516,0.11,148.121
ResidualBlock-in_136x14x14-out_136-k_3-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,1.231135731,1.690574829,0.078789518,15.83654667,0.715706859,1307.328079
ResidualBlock-in_24x112x112-out_32-k_5-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.389439994,1.411861568,2.237211903,0.108066966,4.939232051,0.23585114,1159.140962
ResidualBlock-in_48x28x28-out_96-k_7-e_6-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.325302264,1.596084678,0.486,0.045480903,12.7703965,0.11,148.121
ResidualBlock-in_192x7x7-out_192-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.88784921,1.159072027,0.486,0.036173863,5.916284238,0.924284921,778.4432085
ResidualBlock-in_136x14x14-out_136-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.670951203,1.837520269,2.847529909,0.013330043,15.10831414,1.149703688,689.2701791
ResidualBlock-in_24x112x112-out_32-k_7-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.278550531,1.419516097,0.486,0.00712131,0.964925456,0.125465061,148.121
ResidualBlock-in_136x14x14-out_192-k_3-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.741513334,0.470202527,0.486,0.028389624,24.1928494,1.049122367,832.6931048
ResidualBlock-in_96x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,2.066569756,0.333293976,1.186010872,0.033724711,14.48794821,0.11,517.8892064
ResidualBlock-in_136x14x14-out_136-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.367937711,1.655958666,0.775441176,0.005896788,0.73,1.113732448,565.3089428
ResidualBlock-in_48x28x28-out_48-k_3-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.79646545,1.531351107,0.486,0.082691405,8.807246309,0.748677741,998.9968572
ResidualBlock-in_48x28x28-out_48-k_5-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.794542634,1.249899557,1.785326331,0.060486377,10.37890952,0.626631229,807.786742
Conv_in-1152x1x1_out-1536_k-1_act-h_swish,500,DPUCZDX8G_1:batch-1,2.211308538,1.927863865,1.207626606,0.077708767,17.14469821,1.019527295,867.5352045
ResidualBlock-in_136x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,2.188991579,1.484714182,0.486,0.019391667,15.94797709,1.03966272,1327.383255
ResidualBlock-in_136x14x14-out_192-k_5-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.086678215,0.522650264,0.486,0.067632142,12.38208907,0.939198281,467.7534596
ResidualBlock-in_136x14x14-out_136-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.588609956,0.662255435,0.486,0.026653881,10.92030915,0.835773378,439.4516791
ResidualBlock-in_96x14x14-out_96-k_5-e_3-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.781523783,1.306287755,0.490753327,0.064496697,5.009001757,0.349530855,1163.44604
ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.886215947,2.220348436,0.486,0.072437103,11.40178914,0.50457286,1174.007933
ResidualBlock-in_192x7x7-out_192-k_5-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.892248987,1.528082581,2.012823842,0.03976826,7.957857586,1.706847073,314.7128506
ResidualBlock-in_32x56x56-out_32-k_3-e_3-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.652718006,0.626720424,1.405569082,0.015749718,9.956439141,1.393209629,570.2174113
ResidualBlock-in_48x28x28-out_96-k_5-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.920821376,0.318,2.397935645,0.057894039,10.04325432,0.31253789,777.54454
ResidualBlock-in_192x7x7-out_192-k_3-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.346590424,2.252582816,0.486,0.104018517,15.27060722,0.99807134,586.1458519
ResidualBlock-in_96x14x14-out_136-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.68833236,0.862747198,1.767291398,0.095671832,11.66224259,0.34623943,166.3021625
ResidualBlock-in_96x14x14-out_96-k_7-e_6-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.312,0.318,1.682012643,0.003,5.221116626,0.11,148.121
ResidualBlock-in_136x14x14-out_192-k_3-e_6-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.791370589,0.993952246,1.309683818,0.079265098,20.2952617,0.16961297,1062.856017
ResidualBlock-in_136x14x14-out_192-k_5-e_4-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,1.138573852,0.486,0.059636808,16.63910562,1.452650167,1286.064286
ResidualBlock-in_32x56x56-out_32-k_3-e_4-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.931619304,1.08119311,1.932629089,0.070926649,23.41114412,1.211350649,148.121
ResidualBlock-in_136x14x14-out_136-k_7-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.469053297,0.504260438,1.91958091,0.078473018,18.60194933,0.964560331,1037.251257
ResidualBlock-in_96x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.725936401,1.051551741,0.961803488,0.048481446,8.076433178,0.443104382,474.8504325
ResidualBlock-in_48x28x28-out_48-k_7-e_3-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,2.727256381,0.620251501,1.754040896,0.003,15.07682659,0.11,881.9944727
ResidualBlock-in_32x56x56-out_32-k_3-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.127489928,1.501843968,0.775704789,0.044082143,16.14136358,0.680384998,539.0070208
ResidualBlock-in_96x14x14-out_96-k_5-e_6-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.859069857,0.587115202,2.01302496,0.021283705,11.29813834,0.700574138,1038.995261
ResidualBlock-in_192x7x7-out_192-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.028733273,0.767705701,3.304081889,0.053631084,3.768779714,0.11,785.1983516
ResidualBlock-in_96x14x14-out_136-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.083478602,1.062468919,1.75587174,0.041199705,13.25293753,0.11,532.7706312
ResidualBlock-in_24x112x112-out_32-k_5-e_3-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.705747308,1.663595215,2.607487418,0.047733711,6.150982967,0.226682396,1364.851469
ResidualBlock-in_136x14x14-out_192-k_5-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.757751772,0.614695999,0.574421367,0.030818858,6.036971916,0.11,607.7062317
ResidualBlock-in_24x112x112-out_32-k_3-e_3-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.507172655,1.375988662,1.804738104,0.059214581,10.39231723,1.065189261,1192.93447
ResidualBlock-in_48x28x28-out_96-k_7-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.124439199,0.318,1.119871691,0.003,9.275511407,0.134782806,203.5902699
ResidualBlock-in_24x112x112-out_32-k_3-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.98052449,1.595330373,1.241532513,0.047894411,8.551666775,1.017676062,148.121
ResidualBlock-in_48x28x28-out_96-k_7-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.096967441,1.756718173,1.215252843,0.0699893,17.41690175,0.873155821,216.4218201
ResidualBlock-in_48x28x28-out_96-k_5-e_6-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.508711373,0.318,0.775346344,0.03526447,14.58325846,0.189820713,148.121
ResidualBlock-in_32x56x56-out_32-k_7-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.847831662,1.004044673,1.129722411,0.045786371,8.212159659,0.841593144,804.4287836
ResidualBlock-in_48x28x28-out_48-k_3-e_3-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,2.773728203,2.02074495,1.614276446,0.053062817,16.11422378,0.3571287,275.268338
ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,2.100851963,1.173001383,2.32384426,0.050490081,14.42421207,1.127738288,277.2354212
ResidualBlock-in_48x28x28-out_96-k_3-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.198501842,0.661810619,0.486,0.00460804,14.50700471,0.253414197,262.1777514
ResidualBlock-in_192x7x7-out_192-k_5-e_4-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.971925367,1.074029152,1.52988402,0.06129926,15.16458919,0.30995932,781.5648725
ResidualBlock-in_48x28x28-out_96-k_3-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.912998785,1.452517699,2.252381047,0.046316412,17.91602722,0.72834312,186.8119767
ResidualBlock-in_96x14x14-out_96-k_3-e_3-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.82443854,1.198862143,0.924564682,0.028057211,13.96050251,0.297817242,479.0744136
ResidualBlock-in_96x14x14-out_96-k_7-e_6-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.552315755,1.134529448,0.520454215,0.00996589,11.30378302,0.236764417,558.6889825
ResidualBlock-in_32x56x56-out_32-k_3-e_6-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.994795345,0.318,0.913505271,0.057546182,8.444242903,0.270328931,827.5101992
Conv_in-3x224x224_out-24_k-3_act-relu,500,DPUCZDX8G_1:batch-1,1.186366061,0.318,1.568506078,0.06859541,16.24193812,0.197836031,960.8039537
ResidualBlock-in_48x28x28-out_48-k_5-e_4-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.821555558,1.458809228,1.950833321,0.003,18.31673135,0.930710676,1234.653188
ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.758405806,1.728519644,0.891938617,0.04028119,18.73355363,0.130587083,782.0134078
ResidualBlock-in_96x14x14-out_136-k_3-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.828286372,0.34617283,1.079915914,0.054932238,9.663636276,0.829703282,556.9542323
ResidualBlock-in_24x112x112-out_32-k_3-e_6-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.528672049,1.258473044,1.200106707,0.003,15.11580447,0.11,187.8902967
ResidualBlock-in_48x28x28-out_48-k_7-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.486852703,1.260969382,1.528283412,0.059193479,12.16380735,0.366761664,1247.407591
ResidualBlock-in_24x112x112-out_32-k_7-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.98124538,1.353377567,1.174695791,0.072717763,13.83079658,0.816291919,509.6005135
ResidualBlock-in_32x56x56-out_48-k_7-e_6-s_2-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.826062942,0.706332777,1.347121189,0.018998212,13.8267087,1.40916893,708.1649453
ResidualBlock-in_48x28x28-out_96-k_3-e_3-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.562711231,1.040293069,1.304746414,0.052083709,9.183214918,0.20136304,904.687306
ResidualBlock-in_96x14x14-out_96-k_7-e_6-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.834514014,1.540816299,1.668386728,0.003,11.67241965,1.249382665,488.2794046
ResidualBlock-in_96x14x14-out_136-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.898733704,2.08333601,0.645762556,0.038545515,15.29101354,0.317554901,1340.773046
Conv_in-1152x1x1_out-1536_k-1_act-h_swish,500,DPUCZDX8G_1:batch-1,0.312,0.581311111,1.095895463,0.072164097,17.90916953,1.73,1633.229406
ResidualBlock-in_192x7x7-out_192-k_3-e_3-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,2.110835232,0.771510789,0.486,0.014289793,11.60373951,0.117682672,1398.876553
Conv_in-1152x1x1_out-1536_k-1_act-h_swish,500,DPUCZDX8G_1:batch-1,1.403441407,0.37948128,2.44448681,0.003,9.214556197,0.34154111,477.4282782
ResidualBlock-in_24x112x112-out_32-k_3-e_3-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.359811446,1.462424886,2.300307228,0.010023719,12.71886098,0.828453733,795.2372415
ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,1.432618455,1.146461249,0.102085242,13.58253155,0.415546284,581.7328263
ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.390987531,0.318,1.960154011,0.003,13.95240173,0.55444493,935.0599224
ResidualBlock-in_48x28x28-out_48-k_3-e_6-s_1-act_relu-use_se_True,500,DPUCZDX8G_1:batch-1,1.647869364,1.231994202,1.833481045,0.097754916,8.121185795,0.571099206,299.5734596
ResidualBlock-in_24x112x112-out_24-k_7-e_1-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.781708709,0.34226967,1.093463425,0.034597039,21.55250157,0.440577335,281.9999225
ResidualBlock-in_24x112x112-out_24-k_3-e_1-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.731369768,1.417743386,0.620405654,0.110865171,13.46569689,0.11,993.8073161
ResidualBlock-in_192x7x7-out_192-k_5-e_6-s_1-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.312,1.386819749,0.486,0.040333979,11.1586691,0.11,148.121
ResidualBlock-in_24x112x112-out_24-k_7-e_1-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.634345431,1.081995487,0.665269779,0.050747248,11.19332407,0.11,531.9778535
ResidualBlock-in_48x28x28-out_96-k_7-e_4-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,0.367199727,1.102615276,1.202594704,0.093647871,10.62905356,0.11,562.2364804
ResidualBlock-in_48x28x28-out_96-k_5-e_6-s_2-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.949831891,1.088596489,1.06355826,0.097477565,9.777920349,1.127739519,652.0107886
ResidualBlock-in_136x14x14-out_192-k_3-e_3-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,0.75480893,0.959878377,1.730155248,0.091064205,13.50296517,1.116532926,899.8277051
ResidualBlock-in_96x14x14-out_96-k_3-e_3-s_1-act_h_swish-use_se_False,500,DPUCZDX8G_1:batch-1,1.770841345,0.361929007,1.659247332,0.07401241,10.94798612,0.190238455,738.7016514
ResidualBlock-in_24x112x112-out_32-k_3-e_4-s_2-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,0.686987883,0.387586235,2.378685175,0.029091353,10.10153681,0.11,546.7849835
Conv_in-3x224x224_out-24_k-3_act-relu,500,DPUCZDX8G_1:batch-1,0.312,1.104335961,1.154539018,0.049012278,5.735897528,1.216187516,1154.421663
ResidualBlock-in_136x14x14-out_192-k_7-e_6-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.395374361,1.848068385,0.698062562,0.01941423,8.427782311,0.942334917,148.121
ResidualBlock-in_24x112x112-out_24-k_5-e_1-s_1-act_relu-use_se_False,500,DPUCZDX8G_1:batch-1,1.216117343,1.552903727,2.153012715,0.003435153,4.766602656,0.11,963.3148507
ResidualBlock-in_136x14x14-out_192-k_5-e_4-s_2-act_h_swish-use_se_True,500,DPUCZDX8G_1:batch-1,1.101993026,0.461710826,1.255290328,0.028006752,21.25368024,1.068957799,933.6805913
